Gene	Target	IonCode_0101	IonCode_0102	IonCode_0103	IonCode_0104	IonCode_0105	IonCode_0106	IonCode_0107	IonCode_0125	IonCode_0126	IonCode_0127	IonCode_0128	IonCode_0129	IonCode_0130	IonCode_0131	"COSMIC_CGC_FLAG"	"NCBI_NAME"	"HGNC_SYMBOL_ACC"	"MIM_MORBID_DESCRIPTION"	"ENTREZ_GENE_ID"	"U133PLUS2_PSID"
PPM1L	AMPL34218518	203	199	206	196	285	249	343	240	234	131	110	215	209	357	0	protein_phosphatase__Mg2_Mn2_dependent__1L	16381	.	151742	228108_at,228457_at,229506_at,236339_at,239488_at
PPM1M	AMPL34562952	21	20	16	31	29	20	21	16	21	8	18	18	14	16	0	protein_phosphatase__Mg2_Mn2_dependent__1M	26506	.	132160	226074_at
PPM1N	AMPL3497840	0	1	0	2	4	0	2	0	2	1	2	0	1	2	0	protein_phosphatase__Mg2_Mn2_dependent__1N__putative	26845	.	147699	229559_at
PPME1	AMPL32382353	90	69	78	89	81	78	163	90	64	34	60	102	77	100	0	protein_phosphatase_methylesterase_1	30178	.	51400	217841_s_at,49077_at
PPOX	AMPL6213106	78	94	79	66	76	92	73	78	72	69	32	100	72	55	0	protoporphyrinogen_oxidase	9280	PORPHYRIA_VARIEGATA	5498	204788_s_at,238117_at,238118_s_at
PPP1CA	AMPL8153513	2222	2058	2002	2384	1964	2371	2749	2082	1520	1157	1182	1764	1960	2688	0	protein_phosphatase_1__catalytic_subunit__alpha_isozyme	9281	.	5499	200846_s_at
PPP1CB	AMPL20738153	2320	2025	1993	2327	1119	2109	2099	1733	1521	1341	1281	1029	1811	2074	0	protein_phosphatase_1__catalytic_subunit__beta_isozyme	9282	.	5500	201407_s_at,201408_at,201409_s_at
PPP1R10	AMPL10971862	264	266	256	223	372	357	335	242	236	124	146	239	250	391	0	protein_phosphatase_1__regulatory_subunit_10	9284	.	5514	201702_s_at,201703_s_at
PPP1R11	AMPL36849003	221	208	188	225	224	217	300	192	181	183	100	200	189	269	0	protein_phosphatase_1__regulatory__inhibitor__subunit_11	9285	.	6992	1566303_s_at,201500_s_at
PPP1R12A	AMPL7196474	245	244	217	236	177	237	306	227	198	122	148	154	213	260	0	protein_phosphatase_1__regulatory_subunit_12A	7618	.	4659	201602_s_at,201603_at,201604_s_at
PPP1R12B	AMPL10052194	7	16	5	11	10	12	17	8	11	7	4	20	11	14	0	protein_phosphatase_1__regulatory_subunit_12B	7619	.	4660	1555444_a_at,201957_at,201958_s_at
PPP1R12C	AMPL31635946	384	297	345	382	317	380	430	383	319	203	249	368	358	470	0	protein_phosphatase_1__regulatory_subunit_12C	14947	.	54776	223152_at,234286_at
PPP1R13B	AMPL25268528	8	7	6	4	6	5	10	5	7	5	4	13	9	10	0	protein_phosphatase_1__regulatory_subunit_13B	14950	.	23368	216347_s_at
PPP1R13L	AMPL12808318	27	24	22	28	23	28	26	13	23	19	19	18	25	35	0	protein_phosphatase_1__regulatory_subunit_13_like	18838	.	10848	218849_s_at
PPP1R14A	AMPL17728626	3	0	1	0	2	2	0	0	0	1	0	1	1	0	0	protein_phosphatase_1__regulatory__inhibitor__subunit_14A	14871	.	94274	227006_at
PPP1R14B	AMPL36512379	2195	1776	1789	2125	1356	2099	2039	1926	1677	1162	1152	1312	1773	1915	0	protein_phosphatase_1__regulatory__inhibitor__subunit_14B	9057	.	26472	212680_x_at,230374_at
PPP1R14C	AMPL14937046	8	9	7	8	26	9	15	9	9	7	5	38	12	18	0	protein_phosphatase_1__regulatory__inhibitor__subunit_14C	14952	.	81706	226907_at
PPP1R14D	AMPL5625604	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	protein_phosphatase_1__regulatory__inhibitor__subunit_14D	14953	.	54866	220082_at
PPP1R15A	AMPL25240818	183	199	235	259	135	220	242	196	196	159	152	161	205	291	0	protein_phosphatase_1__regulatory_subunit_15A	14375	.	23645	202014_at,37028_at
PPP1R15B	AMPL17380601	248	246	254	255	230	222	328	245	245	165	170	233	229	339	0	protein_phosphatase_1__regulatory_subunit_15B	14951	.	84919	224692_at
PPP1R16A	AMPL16336068	207	188	181	183	226	242	219	146	190	138	116	160	197	227	0	protein_phosphatase_1__regulatory_subunit_16A	14941	.	84988	225203_at
PPP1R16B	AMPL30953108	452	393	498	670	163	354	469	411	313	292	432	95	339	476	0	protein_phosphatase_1__regulatory_subunit_16B	15850	.	26051	212750_at,41577_at
PPP1R17	AMPL12250441	0	1	0	0	0	1	2	1	0	0	0	5	3	1	0	protein_phosphatase_1__regulatory_subunit_17	16973	.	10842	220231_at
PPP1R18	AMPL3104684	237	234	228	268	209	254	303	238	198	166	130	160	215	288	0	protein_phosphatase_1__regulatory_subunit_18	29413	.	170954	224927_at,225592_at
PPP1R1A	AMPL13035604	12	22	7	9	14	20	34	8	7	1	8	15	4	28	0	protein_phosphatase_1__regulatory__inhibitor__subunit_1A	9286	.	5502	205478_at,235129_at
PPP1R1B	AMPL15249643	0	0	1	1	2	0	0	0	2	0	0	0	0	1	0	protein_phosphatase_1__regulatory__inhibitor__subunit_1B	9287	.	84152	225165_at
PPP1R1C	AMPL5385774	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	protein_phosphatase_1__regulatory__inhibitor__subunit_1C	14940	.	151242	1555462_at,228646_at
PPP1R2	AMPL29927338	116	110	113	95	100	135	136	75	68	83	43	86	89	119	0	protein_phosphatase_1__regulatory__inhibitor__subunit_2	9288	.	5504	202165_at,202166_s_at,236754_at
PPP1R21	AMPL18545128	71	85	84	62	105	86	99	63	69	31	39	123	95	105	0	protein_phosphatase_1__regulatory_subunit_21	30595	.	129285	1553955_at,1554145_a_at
PPP1R26	AMPL25059648	112	130	123	130	149	123	137	106	114	55	68	135	112	126	0	protein_phosphatase_1__regulatory_subunit_26	29089	.	9858	203955_at
PPP1R27	AMPL924867	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	protein_phosphatase_1__regulatory_subunit_27	16813	.	116729	1557480_a_at
PPP1R2P3	AMPL37598282	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	protein_phosphatase_1__regulatory__inhibitor__subunit_2_pseudogene_3	16318	.	153743	202165_at,202166_s_at
PPP1R2P9	AMPL20782654	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	protein_phosphatase_1__regulatory__inhibitor__subunit_2_pseudogene_9	16324	.	80316	207377_at
PPP1R32	AMPL34985819	7	18	10	8	10	15	8	13	7	4	5	11	9	13	0	protein_phosphatase_1__regulatory_subunit_32	28869	.	220004	235402_at
PPP1R35	AMPL35416509	75	88	79	71	96	74	112	69	73	65	37	89	64	77	0	protein_phosphatase_1__regulatory_subunit_35	28320	.	221908	226434_at
PPP1R36	AMPL17533652	2	2	2	4	2	2	1	5	0	1	0	1	0	1	0	protein_phosphatase_1__regulatory_subunit_36	20097	.	145376	237654_at
PPP1R37	AMPL33693143	99	91	99	82	86	110	100	79	103	49	47	96	70	82	0	protein_phosphatase_1__regulatory_subunit_37	27607	.	284352	213751_at,213781_at,219085_s_at,229262_at
PPP1R3A	AMPL9846467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	protein_phosphatase_1__regulatory_subunit_3A	9291	DIABETES_MELLITUS__NONINSULIN-DEPENDENT__NIDDM	5506	211169_s_at
PPP1R3B	AMPL14864268	27	26	16	34	25	13	28	18	16	11	19	15	17	32	0	protein_phosphatase_1__regulatory_subunit_3B	14942	.	79660	1552670_a_at,222662_at
PPP1R3C	AMPL28286020	7	2	2	1	6	1	3	4	4	1	1	13	9	6	0	protein_phosphatase_1__regulatory_subunit_3C	9293	.	5507	204284_at
PPP1R3D	AMPL28468314	41	29	36	54	43	39	50	55	43	28	23	27	44	57	0	protein_phosphatase_1__regulatory_subunit_3D	9294	.	5509	204554_at,204555_s_at
PPP1R3F	AMPL18369842	20	12	6	10	11	15	11	14	16	8	8	7	12	11	0	protein_phosphatase_1__regulatory_subunit_3F	14944	.	89801	229365_at,232211_at
PPP1R3G	AMPL5715484	2	1	6	1	2	2	1	3	1	0	3	0	2	8	0	protein_phosphatase_1__regulatory_subunit_3G	14945	.	648791	.
PPP1R42	AMPL612456	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	protein_phosphatase_1__regulatory_subunit_42	33732	.	286187	.
PPP1R7	AMPL10496305	287	305	224	247	211	251	295	221	214	171	139	249	223	322	0	protein_phosphatase_1__regulatory_subunit_7	9295	.	5510	201213_at,201214_s_at,213465_s_at
PPP1R8	AMPL24748248	186	189	180	177	207	195	226	154	137	122	119	207	146	189	0	protein_phosphatase_1__regulatory_subunit_8	9296	.	5511	207830_s_at
PPP1R9A	AMPL8477712	71	100	55	82	112	96	129	74	102	57	54	108	75	151	0	protein_phosphatase_1__regulatory_subunit_9A	14946	.	55607	221088_s_at,228494_at,231966_at,233985_x_at
PPP1R9B	AMPL17094659	584	533	497	576	561	646	723	672	476	268	353	535	558	760	0	protein_phosphatase_1__regulatory_subunit_9B	9298	.	84687	225124_at,230455_at
PPP2CB	AMPL727414	1089	1110	1076	1285	818	1146	1379	930	1014	673	664	763	1003	1354	0	protein_phosphatase_2__catalytic_subunit__beta_isozyme	9300	.	5516	201374_x_at,201375_s_at
PPP2R1A	AMPL25082376	1725	1664	1456	1701	1862	1689	1777	1485	1455	1167	764	1562	1588	1781	1	protein_phosphatase_2__regulatory_subunit_A__alpha	9302	.	5518	200695_at
PPP2R1B	AMPL16370786	518	568	593	691	718	707	844	601	543	315	363	603	650	843	0	protein_phosphatase_2__regulatory_subunit_A__beta	9303	.	5519	202883_s_at,202884_s_at,202885_s_at,202886_s_at,222351_at
PPP2R2B	AMPL17732489	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	protein_phosphatase_2__regulatory_subunit_B__beta	9305	SPINOCEREBELLAR_ATAXIA_12__SCA12	5521	205643_s_at,213849_s_at
PPP2R2C	AMPL6784678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	protein_phosphatase_2__regulatory_subunit_B__gamma	9306	.	5522	223573_s_at,223574_x_at,228010_at,228140_s_at
PPP2R2D	AMPL33472736	99	61	69	64	76	68	108	71	78	52	32	60	35	73	0	protein_phosphatase_2__regulatory_subunit_B__delta	23732	.	55844	221772_s_at,225066_at
PPP2R3A	AMPL7472736	44	61	58	70	64	73	79	40	61	44	34	81	64	76	0	protein_phosphatase_2__regulatory_subunit_Bpp__alpha	9307	.	5523	207749_s_at,209632_at,209633_at
PPP2R3B	AMPL12767408	239	270	261	332	216	289	308	222	234	156	149	184	211	330	0	protein_phosphatase_2__regulatory_subunit_Bpp__beta	13417	.	28227	219264_s_at
PPP2R3C	AMPL33929911	162	159	135	171	190	170	204	148	140	111	93	139	134	276	0	protein_phosphatase_2__regulatory_subunit_Bpp__gamma	17485	.	55012	218852_at,239188_at
PPP2R4	AMPL37400701	862	840	809	774	1029	1071	987	754	758	476	430	813	822	1057	0	protein_phosphatase_2A_activator__regulatory_subunit_4	9308	.	5524	206452_x_at,208874_x_at,216105_x_at
PPP2R5A	AMPL26982415	34	30	39	58	37	40	38	51	44	19	27	34	40	46	0	protein_phosphatase_2__regulatory_subunit_Bp__alpha	9309	.	5525	202186_x_at,202187_s_at
PPP2R5B	AMPL27033435	42	44	29	55	45	49	45	24	38	24	29	41	58	69	0	protein_phosphatase_2__regulatory_subunit_Bp__beta	9310	.	5526	204611_s_at,635_s_at
PPP2R5C	AMPL9724293	88	105	95	109	160	133	125	90	84	74	48	160	124	84	0	protein_phosphatase_2__regulatory_subunit_Bp__gamma	9311	.	5527	1554364_at,1554365_a_at,1557718_at,201877_s_at,213305_s_at,214083_at
PPP2R5D	AMPL27035289	237	208	257	264	361	325	416	233	225	172	136	250	270	401	0	protein_phosphatase_2__regulatory_subunit_Bp__delta	9312	.	5528	202513_s_at,211159_s_at
PPP2R5E	AMPL28226847	634	510	571	584	510	541	688	480	456	407	301	452	470	653	0	protein_phosphatase_2__regulatory_subunit_Bp__epsilon_isoform	9313	.	5529	203338_at,227630_at,228070_at,229322_at
PPP3CA	AMPL4724008	86	67	69	85	44	66	76	86	58	26	46	57	68	67	0	protein_phosphatase_3__catalytic_subunit__alpha_isozyme	9314	.	5530	202425_x_at,202429_s_at,202457_s_at
PPP3CB	AMPL6391461	126	130	114	140	133	122	151	121	102	56	68	120	97	179	0	protein_phosphatase_3__catalytic_subunit__beta_isozyme	9315	.	5532	202432_at,209817_at
PPP3R1	AMPL3726630	918	968	1028	1182	738	1241	1401	972	825	641	660	752	927	1332	0	protein_phosphatase_3__regulatory_subunit_B__alpha	9317	.	5534	204506_at,204507_s_at
PPP3R2	AMPL35626393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	protein_phosphatase_3__regulatory_subunit_B__beta	9318	.	5535	231304_at,244782_at
PPP4C	AMPL10024529	1449	1387	1416	1462	1375	1535	1425	1277	1417	813	836	1094	1364	1631	0	protein_phosphatase_4__catalytic_subunit	9319	.	5531	208932_at
PPP4R1	AMPL5893261	266	239	296	281	252	311	386	275	245	190	177	249	285	440	0	protein_phosphatase_4__regulatory_subunit_1	9320	.	9989	201594_s_at
PPP4R2	AMPL18476557	831	844	871	918	939	944	1103	827	717	515	561	888	835	964	0	protein_phosphatase_4__regulatory_subunit_2	18296	.	151987	225519_at,226317_at
PPP4R4	AMPL16719782	7	8	12	18	14	10	18	15	8	14	6	23	9	11	0	protein_phosphatase_4__regulatory_subunit_4	23788	.	57718	220672_at,220673_s_at,233002_at
PPP5C	AMPL29728680	409	434	435	478	389	562	600	432	385	267	291	349	534	687	0	protein_phosphatase_5__catalytic_subunit	9322	.	5536	201979_s_at,215705_at
PPP6C	AMPL8149027	380	421	478	489	404	557	540	451	375	283	259	402	466	516	0	protein_phosphatase_6__catalytic_subunit	9323	.	5537	203529_at,206174_s_at,225426_at,225429_at
PPP6R1	AMPL25724999	771	701	601	746	642	670	801	650	644	478	434	622	655	755	0	protein_phosphatase_6__regulatory_subunit_1	29195	.	22870	209229_s_at
PPP6R2	AMPL8858430	102	102	105	74	116	119	109	107	78	61	41	79	102	118	0	protein_phosphatase_6__regulatory_subunit_2	19253	.	9701	202791_s_at,202792_s_at
PPP6R3	AMPL7663845	466	464	449	473	471	551	518	433	415	257	288	430	496	649	0	protein_phosphatase_6__regulatory_subunit_3	1173	.	55291	217928_s_at,222467_s_at
DESI2	AMPL33536833	140	182	142	160	134	197	233	136	141	119	101	103	145	258	0	desumoylating_isopeptidase_2	24264	.	51029	1558914_at,212371_at,219875_s_at,222158_s_at
DESI1	AMPL31052199	87	94	80	91	86	114	108	68	81	78	48	99	95	120	0	desumoylating_isopeptidase_1	24577	.	27351	212527_at,212528_at
PPRC1	AMPL25195383	202	241	279	237	165	203	222	200	196	102	151	127	175	272	0	peroxisome_proliferator-activated_receptor_gamma__coactivator-related_1	30025	.	23082	203737_s_at
PPT1	AMPL2697124	1209	1321	1147	1274	1407	1258	1546	1306	1175	880	670	1075	1268	1894	0	palmitoyl-protein_thioesterase_1	9325	CEROID_LIPOFUSCINOSIS__NEURONAL__1__CLN1	5538	200975_at
PPT2	AMPL34423166	262	266	267	304	225	260	310	234	206	179	140	217	278	346	0	palmitoyl-protein_thioesterase_2	9326	.	80864,9374	209490_s_at
PPTC7	AMPL34515345	140	147	157	153	124	170	177	160	147	63	109	84	143	261	0	PTC7_protein_phosphatase_homolog__S._cerevisiae	30695	.	160760	225204_at,225213_at,235744_at
PPWD1	AMPL26786615	205	181	199	213	220	221	246	258	243	99	126	291	224	315	0	peptidylprolyl_isomerase_domain_and_WD_repeat_containing_1	28954	.	23398	213483_at
PPY	AMPL7049782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pancreatic_polypeptide	9327	.	5539	210670_at
PPY2	AMPL20123119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pancreatic_polypeptide_2	9328	.	23614	220654_at
PPYR1	AMPL26995499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.	.
PQBP1	AMPL671546	181	134	129	188	199	161	182	168	131	146	99	175	140	216	0	polyglutamine_binding_protein_1	9330	RENPENNING_SYNDROME_1__RENS1	10084	207769_s_at,210499_s_at,214527_s_at
PQLC1	AMPL15056946	113	98	87	97	88	62	71	100	82	114	58	86	88	51	0	PQ_loop_repeat_containing_1	26188	.	80148	218208_at
PQLC2	AMPL30885638	115	108	93	129	100	157	155	113	112	47	83	113	141	174	0	PQ_loop_repeat_containing_2	26001	.	54896	1555781_at,1555783_x_at
PQLC3	AMPL34243013	19	25	24	28	30	27	23	31	40	12	12	28	22	38	0	PQ_loop_repeat_containing_3	28503	.	130814	216458_at,225579_at
PRAC	AMPL14752917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.	.
PRADC1	AMPL15301889	103	71	81	68	63	80	82	101	53	52	45	38	93	80	0	protease-associated_domain_containing_1	16047	.	84279	223312_at
PRAM1	AMPL15357084	1	0	1	0	1	7	2	4	2	0	2	1	2	5	0	PML-RARA_regulated_adaptor_molecule_1	30091	.	84106	241742_at
PRAME	AMPL22478922	0	1	1	1	0	0	0	0	0	0	1	2	0	0	0	preferentially_expressed_antigen_in_melanoma	9336	.	23532	204086_at
PRAMEF1	AMPL34977640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRAME_family_member_1	28840	.	65121	208312_s_at
PRAMEF10	AMPL5022099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRAME_family_member_10	27997	.	343071	217273_at
PRAMEF11	AMPL6671369	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	PRAME_family_member_11	14086	.	440560	217365_at
PRAMEF12	AMPL4248922	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0	PRAME_family_member_12	22125	.	390999	216001_at
PRAMEF13	AMPL887935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRAME_family_member_13	13262	.	400736	208312_s_at
PRAMEF14	AMPL2774947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRAME_family_member_14	13576	.	.	208312_s_at
PRAMEF16	AMPL1302085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRAME_family_member_16	25767	.	654348	.
PRAMEF17	AMPL4201929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRAME_family_member_17	29485	.	391004	.
PRAMEF18	AMPL1574190	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	PRAME_family_member_18	30693	.	391003	.
PRAMEF2	AMPL37311175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRAME_family_member_2	28841	.	65122	208312_s_at
PRAMEF20	AMPL3904819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRAME_family_member_20	25224	.	391001,645425	.
PRAMEF22	AMPL901307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRAME_family_member_22	34393	.	653606	.
PRAMEF4	AMPL916526	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	PRAME_family_member_4	31971	.	400735	217365_at
PRAMEF6	AMPL991784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRAME_family_member_6	30583	.	101929983,343068,440561,441873,645359,729368	217365_at
PRAMEF8	AMPL984024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRAME_family_member_8	24074	.	391002	.
PRB1	AMPL22536280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	proline-rich_protein_BstNI_subfamily_1	9337	.	5542	207752_x_at,210597_x_at,211531_x_at
PRB2	AMPL29067086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	proline-rich_protein_BstNI_subfamily_2	9338	.	653247	207752_x_at,210597_x_at,211531_x_at
PRB3	AMPL28115131	0	0	3	1	1	0	0	2	0	0	0	0	1	0	0	proline-rich_protein_BstNI_subfamily_3	9339	.	5544	206998_x_at
PRB4	AMPL11453770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	proline-rich_protein_BstNI_subfamily_4	9340	.	5545	216881_x_at
PRC1	AMPL29794357	231	215	207	210	281	223	302	267	206	201	136	267	225	340	0	protein_regulator_of_cytokinesis_1	9341	.	9055	218009_s_at
PRCC	AMPL29947946	683	594	608	620	722	765	808	698	584	365	327	624	665	851	1	papillary_renal_cell_carcinoma__translocation-associated	9343	.	5546	208938_at
PRCD	AMPL3662572	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	progressive_rod-cone_degeneration	32528	RETINITIS_PIGMENTOSA_36__RP36	768206	1556727_at,230015_at
PRCP	AMPL29820947	219	256	239	287	300	304	262	262	263	129	191	284	275	349	0	prolylcarboxypeptidase__angiotensinase_C	9344	.	5547	1569205_at,201494_at,242636_at
PRDM1	AMPL9476270	1	1	7	3	0	1	8	6	2	1	2	0	0	8	1	PR_domain_containing_1__with_ZNF_domain	9346	.	639	217192_s_at,228964_at
PRDM10	AMPL32347861	18	15	11	17	15	16	33	13	19	18	4	24	18	24	0	PR_domain_containing_10	13995	.	56980	214158_s_at,219515_at
PRDM12	AMPL36414353	0	0	0	0	8	0	0	2	1	0	0	9	0	1	0	PR_domain_containing_12	13997	.	59335	220894_x_at
PRDM13	AMPL34780935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PR_domain_containing_13	13998	.	59336	221168_at
PRDM14	AMPL36937242	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	PR_domain_containing_14	14001	.	63978	220714_at
PRDM15	AMPL35295833	60	34	43	61	71	67	67	44	46	41	27	70	57	80	0	PR_domain_containing_15	13999	.	63977	230777_s_at,231931_at,234524_at,236061_at
PRDM16	AMPL36533343	10	18	9	12	17	14	28	12	10	8	11	11	27	26	1	PR_domain_containing_16	14000	.	63976	220928_s_at,232424_at
PRDM2	AMPL13172724	19	18	25	22	20	35	28	28	28	8	15	13	28	38	0	PR_domain_containing_2__with_ZNF_domain	9347	.	7799	203056_s_at,203057_s_at,205277_at,216433_s_at
PRDM4	AMPL12108836	242	237	257	237	263	217	314	217	204	175	132	239	198	251	0	PR_domain_containing_4	9348	.	11108	218329_at,49485_at
PRDM5	AMPL31841901	41	33	36	28	59	40	38	46	36	33	34	36	33	39	0	PR_domain_containing_5	9349	BRITTLE_CORNEA_SYNDROME_2__BCS2	11107	220792_at,235764_at,242613_at
PRDM6	AMPL6051027	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	PR_domain_containing_6	9350	.	93166	230311_s_at,236577_at
PRDM7	AMPL5507339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PR_domain_containing_7	9351	.	11105	224228_s_at
PRDM8	AMPL4061549	6	7	5	0	44	4	11	14	11	2	3	44	4	23	0	PR_domain_containing_8	13993	.	56978	219835_at
PRDM9	AMPL31019451	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	PR_domain_containing_9	13994	.	56979	221151_at
PRDX1	AMPL10930666	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	peroxiredoxin_1	9352	.	5052	208680_at
PRDX2	AMPL28357691	3866	3991	3790	3889	5485	4467	5095	3609	3630	2369	2034	4683	3899	4699	0	peroxiredoxin_2	9353	.	7001	215067_x_at,39729_at
PRDX3	AMPL12085348	1778	1808	1639	1955	1343	2009	2259	1837	1721	1161	1044	1303	1761	2379	0	peroxiredoxin_3	9354	.	10935	201619_at,209766_at
PRDX4	AMPL27519147	287	277	250	328	158	266	232	272	254	155	124	153	243	217	0	peroxiredoxin_4	17169	.	10549	201923_at
PRDX5	AMPL13348961	1257	1328	1027	1169	939	1175	1102	1155	1320	741	651	836	1145	1266	0	peroxiredoxin_5	9355	.	25824	1560587_s_at,222994_at
PRDX6	AMPL29831430	3612	3945	3875	3617	2917	3432	3754	3602	3401	2259	2266	2191	3366	3595	0	peroxiredoxin_6	16753	.	9588	200844_s_at,200845_s_at
PREB	AMPL13624757	343	331	368	461	233	436	459	357	333	252	243	253	346	447	0	prolactin_regulatory_element_binding	9356	.	10113	217861_s_at
PRELID1	AMPL12369905	1030	1095	984	1146	1021	1234	1299	976	956	576	604	764	1015	1314	0	PRELI_domain_containing_1	30255	.	27166	223032_x_at,224232_s_at
PRELID2	AMPL22488829	8	11	5	14	15	10	6	6	6	3	9	15	11	16	0	PRELI_domain_containing_2	28306	.	153768	235828_at
PRELP	AMPL21050352	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	proline_arginine-rich_end_leucine-rich_repeat_protein	9357	.	5549	204223_at,228224_at,37022_at
PREP	AMPL7319438	185	215	207	235	251	228	331	164	147	124	127	158	232	385	0	prolyl_endopeptidase	9358	.	5550	204117_at,229644_at,37950_at
PREPL	AMPL8602205	0	1	0	3	0	2	2	2	1	0	0	1	3	4	0	prolyl_endopeptidase-like	30228	HYPOTONIA-CYSTINURIA_SYNDROME	9581	212215_at,212216_at,212217_at,243542_at
PREX1	AMPL36351042	356	368	358	412	280	427	605	372	333	242	248	265	400	651	0	phosphatidylinositol-3_4_5-trisphosphate-dependent_Rac_exchange_factor_1	32594	.	57580	224909_s_at,224925_at
PREX2	AMPL15442103	61	65	46	62	77	65	80	54	36	41	39	93	53	84	0	phosphatidylinositol-3_4_5-trisphosphate-dependent_Rac_exchange_factor_2	22950	.	80243	220732_at,228692_at,233408_at
PRF1	AMPL29459941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	perforin_1__pore_forming_protein	9360	HEMOPHAGOCYTIC_LYMPHOHISTIOCYTOSIS__FAMILIAL__2__FHL2	5551	1553681_a_at,214617_at
PRG1	AMPL18758016	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.	.
PRG3	AMPL26988306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	proteoglycan_3	9363	.	10394	220811_at
PRG4	AMPL27920847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	proteoglycan_4	9364	CAMPTODACTYLY-ARTHROPATHY-COXA_VARA-PERICARDITIS_SYNDROME__CACP	10216	206007_at
PRH1	AMPL29176765	15	19	10	16	12	21	22	8	10	15	7	11	17	21	0	proline-rich_protein_HaeIII_subfamily_1	9366	.	5554	205272_s_at
PRH2	AMPL30438220	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	proline-rich_protein_HaeIII_subfamily_2	9367	.	5554,5555	205272_s_at
PRHOXNB	AMPL4748933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.	.
HELZ2	AMPL3224179	9	14	11	6	23	19	18	10	10	15	4	10	11	14	0	helicase_with_zinc_finger_2__transcriptional_coactivator	30021	.	85441	228230_at,232517_s_at,232518_at,232787_at
PRICKLE1	AMPL6166432	2	3	3	2	3	2	2	4	1	1	1	2	1	7	0	prickle_homolog_1__Drosophila	17019	EPILEPSY__PROGRESSIVE_MYOCLONIC_1B__EPM1B,NEURAL_TUBE_DEFECTS	144165	226065_at,226069_at,230708_at,232811_x_at
PRICKLE2	AMPL22441891	5	6	6	6	8	11	9	3	2	4	2	6	4	14	0	prickle_homolog_2__Drosophila	20340	EPILEPSY__PROGRESSIVE_MYOCLONIC_5__EPM5	166336	225968_at
PRICKLE3	AMPL28679877	7	2	4	1	4	11	2	3	4	3	4	3	6	5	0	prickle_homolog_3__Drosophila	6645	.	4007	217349_s_at
PRICKLE4	AMPL25254872	8	8	1	4	10	6	5	5	7	7	4	9	9	4	0	prickle_homolog_4__Drosophila	16805	.	100188893,29964	218233_s_at,223516_s_at
PRIM1	AMPL5600643	166	127	109	136	130	179	166	123	115	98	65	125	141	192	0	primase__DNA__polypeptide_1__49kDa	9369	.	5557	205053_at
PRIMA1	AMPL17463233	2	12	6	7	17	11	12	9	8	3	3	15	8	19	0	proline_rich_membrane_anchor_1	18319	.	145270	230087_at
